ID,SCORE,RANK
ID38824705704,0.992957652,1
ID12868925050,0.992483604,2
ID81537300991,0.992066183,3
ID86717775783,0.991854945,4
ID37339052202,0.991486132,5
ID70022980854,0.991035184,6
ID75218829640,0.990330036,7
ID6571730322,0.989471587,8
ID31766117425,0.989465877,9
ID22510992746,0.987955702,10
ID4047849636,0.987486424,11
ID86641119274,0.987400549,12
ID93058607724,0.987378785,13
ID67700481353,0.987298291,14
ID14829224261,0.987244061,15
ID96069389905,0.987133898,16
ID75916070247,0.986972607,17
ID20931345280,0.986390842,18
ID22368291682,0.986185091,19
ID78796383495,0.986130811,20
ID13045785954,0.98602937,21
ID43351374447,0.985839471,22
ID16866753770,0.985669698,23
ID40206419648,0.985634765,24
ID87367579241,0.985405458,25
ID82907864583,0.985279181,26
ID95149415589,0.984927743,27
ID71189190480,0.984823343,28
ID33190608272,0.984755109,29
ID25480984582,0.984690485,30
ID66921083893,0.98454854,31
ID68799942065,0.984448663,32
ID9878010773,0.984236466,33
ID13377570413,0.984128334,34
ID38179240346,0.984074392,35
ID77221786220,0.983969552,36
ID18519757417,0.983968479,37
ID34578138745,0.983870261,38
ID13703458110,0.983771535,39
ID5316857018,0.983740898,40
ID15168605472,0.983600238,41
ID57443188297,0.983571258,42
ID43326716098,0.983532692,43
ID4628191471,0.983518987,44
ID56852423752,0.983436785,45
ID45196470453,0.983314331,46
ID93899701020,0.983215449,47
ID33617984472,0.983033762,48
ID9253433164,0.982825402,49
ID11787026846,0.982764501,50
ID87719685997,0.982733261,51
ID25788454537,0.982391731,52
ID74530717253,0.982344259,53
ID82129857354,0.982226733,54
ID67268564816,0.982220546,55
ID71742184912,0.982150423,56
ID61684765788,0.982144135,57
ID12362687574,0.982039741,58
ID4800710689,0.981998787,59
ID89568471903,0.981978158,60
ID95516221362,0.981870762,61
ID45018838413,0.981800242,62
ID78238081130,0.981788325,63
ID99285932071,0.981550394,64
ID66455004348,0.981283831,65
ID75537872815,0.981231656,66
ID92790433714,0.981182343,67
ID71860136032,0.981100472,68
ID88928335573,0.980928283,69
ID87934073939,0.980853605,70
ID53929899099,0.98082711,71
ID67166480360,0.980693384,72
ID64883781394,0.980685481,73
ID20721568595,0.980652743,74
ID61672303016,0.980539414,75
ID92381634559,0.980450228,76
ID6165825625,0.980423628,77
ID25725794316,0.980400476,78
ID34022521569,0.980398983,79
ID46720617193,0.980373054,80
ID91030389671,0.980264215,81
ID29195533380,0.980243039,82
ID51033813762,0.980187364,83
ID76855265245,0.980028417,84
ID94013540071,0.979982853,85
ID16520323891,0.979836065,86
ID94845871531,0.979813407,87
ID53845260224,0.979764359,88
ID60433337306,0.979756918,89
ID778860319,0.979451076,90
ID80248357160,0.97944825,91
ID11870320426,0.979335095,92
ID91799387285,0.979286792,93
ID59326201053,0.97917976,94
ID6407732938,0.978975493,95
ID12839965667,0.978852262,96
ID40886930535,0.978658946,97
ID64432162635,0.978624281,98
ID55570598810,0.978605246,99
ID19671858530,0.978468303,100
ID6780009440,0.978435581,101
ID76494314184,0.978362662,102
ID97349180512,0.978175564,103
ID31595588210,0.978133511,104
ID7159824300,0.978109312,105
ID70011553619,0.977898597,106
ID34661943854,0.97781815,107
ID43960029372,0.977811695,108
ID92894136250,0.977701302,109
ID13411792653,0.977671836,110
ID38208191999,0.977642621,111
ID8546222703,0.977412252,112
ID58354052090,0.977396616,113
ID66299353570,0.977287573,114
ID72565816469,0.977200975,115
ID20163871822,0.977094167,116
ID69643515893,0.977065853,117
ID19070444218,0.976896703,118
ID35490324085,0.976716941,119
